time,mim,ust,mim_p,ust_p,ideal
2022-05-24T00:00:00+00:00,21182.537092174215964568000000000000000000,7246166.777257920932230212000000000000000000,0.0029147542213702614,0.9970852457786298,0.50
2022-05-23T00:00:00+00:00,21152.246439553370054268000000000000000000,7246459.431620546658190412000000000000000000,0.0029104811011585875,0.9970895188988415,0.50
2022-05-22T00:00:00+00:00,20981.509266901153266868000000000000000000,7248785.678968303102378512000000000000000000,0.0028861322135399206,0.99711386778646,0.50
2022-05-21T00:00:00+00:00,18329.359224066770353068000000000000000000,7292887.589291051543780612000000000000000000,0.00250701892080899,0.997492981079191,0.50
2022-05-20T00:00:00+00:00,150685.164575947734385968000000000000000000,53739840.896517530248203312000000000000000000,0.002796134600822455,0.9972038653991775,0.50
2022-05-19T00:00:00+00:00,167931.395872771001466068000000000000000000,55446209.991376328152898012000000000000000000,0.003019580841920062,0.9969804191580799,0.50
2022-05-18T00:00:00+00:00,189907.807099409670926068000000000000000000,55191521.714238171200306312000000000000000000,0.003429088211351446,0.9965709117886485,0.50
2022-05-17T00:00:00+00:00,184999.961430101369727868000000000000000000,55333844.043458934748948112000000000000000000,0.0033322012506926497,0.9966677987493073,0.50
2022-05-16T00:00:00+00:00,195932.638692455411802768000000000000000000,55352202.880897257519920612000000000000000000,0.003527258599406229,0.9964727414005937,0.50
2022-05-15T00:00:00+00:00,331124.690200124500221668000000000000000000,72189403.571351092011078812000000000000000000,0.004565944266234468,0.9954340557337655,0.50
2022-05-14T00:00:00+00:00,370116.611435700424588549000000000000000000,71956408.645617192642574712000000000000000000,0.005117301157774183,0.9948826988422258,0.50
2022-05-13T00:00:00+00:00,298977.792027416339907749000000000000000000,72463077.693564990481377612000000000000000000,0.004108979467830136,0.9958910205321698,0.50
2022-05-12T00:00:00+00:00,651431.595240984738836849000000000000000000,71717973.960463173407667212000000000000000000,0.009001477768662409,0.9909985222313376,0.50
2022-05-11T00:00:00+00:00,1962195.294626350805347749000000000000000000,76640396.534359671687181349000000000000000000,0.024963493556236123,0.9750365064437638,0.50
2022-05-10T00:00:00+00:00,1784635.539861840926946249000000000000000000,78004371.786271761359209549000000000000000000,0.022366934991022408,0.9776330650089776,0.50
2022-05-09T00:00:00+00:00,2691792.214605388484625890000000000000000000,117508232.367543767339688549000000000000000000,0.02239427341186372,0.9776057265881363,0.50
2022-05-08T00:00:00+00:00,35893196.135783074969543052000000000000000000,34823422.539689310050586955000000000000000000,0.5075638061896249,0.49243619381037507,0.50
2022-05-07T00:00:00+00:00,15369498.350545960043560852000000000000000000,55646599.398589987160980355000000000000000000,0.21642273847316484,0.7835772615268352,0.50
2022-05-06T00:00:00+00:00,62571652.036746133330143452000000000000000000,13707747.797478827616687155000000000000000000,0.8202955473264165,0.17970445267358343,0.50
2022-05-05T00:00:00+00:00,63430624.801831211981478952000000000000000000,12851801.447341970475852455000000000000000000,0.8315234310277163,0.1684765689722837,0.50
2022-05-04T00:00:00+00:00,62659701.936492107630569652000000000000000000,13652241.048556221377852455000000000000000000,0.8210995485827024,0.17890045141729757,0.50
2022-05-03T00:00:00+00:00,60744772.226923529954986852000000000000000000,15564435.464097386599001355000000000000000000,0.7960346341542633,0.2039653658457367,0.50
2022-05-02T00:00:00+00:00,60383412.446525884987986852000000000000000000,15425464.431624345852001355000000000000000000,0.796521659905104,0.20347834009489593,0.50
2022-05-01T00:00:00+00:00,60024318.598391826105986852000000000000000000,26402351.991801462420315055000000000000000000,0.6945115227567576,0.3054884772432423,0.50
2022-04-30T00:00:00+00:00,59837039.488834965375986852000000000000000000,25588607.075181934910315055000000000000000000,0.7004575545587922,0.29954244544120784,0.50
2022-04-29T00:00:00+00:00,61358449.362439670036718052000000000000000000,24166996.263276566948763155000000000000000000,0.7174291687524408,0.2825708312475593,0.50
2022-04-28T00:00:00+00:00,63481450.474931169629718052000000000000000000,22824462.898642051779763155000000000000000000,0.7355399878586897,0.2644600121413103,0.50
2022-04-27T00:00:00+00:00,64619431.184383117678926852000000000000000000,21787240.226772451831480955000000000000000000,0.7478523374300518,0.2521476625699483,0.50
2022-04-26T00:00:00+00:00,64814599.289831771782674752000000000000000000,21629994.723754827201700855000000000000000000,0.749781984974616,0.25021801502538393,0.50
2022-04-25T00:00:00+00:00,68816020.866532114627743452000000000000000000,17717128.770798604079061755000000000000000000,0.795256166624549,0.20474383337545093,0.50
2022-04-24T00:00:00+00:00,68315967.181463230833036852000000000000000000,18215600.175359678508880855000000000000000000,0.7894918498327258,0.2105081501672742,0.50
2022-04-23T00:00:00+00:00,69895564.522583098535483052000000000000000000,17141733.391772703084985055000000000000000000,0.8030530151724141,0.19694698482758588,0.50
2022-04-22T00:00:00+00:00,70935257.524035080291083952000000000000000000,16104976.328559232349924755000000000000000000,0.814970897759379,0.18502910224062097,0.50
2022-04-21T00:00:00+00:00,70987346.853851090519083952000000000000000000,16052627.052038405498924755000000000000000000,0.8155717846446618,0.1844282153553382,0.50
2022-04-20T00:00:00+00:00,73693853.444959230412421152000000000000000000,15646015.792849306572497455000000000000000000,0.8248708451631813,0.1751291548368187,0.50
2022-04-19T00:00:00+00:00,71379937.126330301419293852000000000000000000,18344642.882934472291807555000000000000000000,0.795544956788427,0.20445504321157304,0.50
