time,usdc,dai,usdt,usdc_p,dai_p,usdt_p,ideal
2021-03-16T00:00:00+00:00,307733312.844770000000000000000000,175371652.978696653395813826000000000000000000,360695067.630840000000000000000000,0.36469933709884633,0.20783556058983418,0.4274651023113195,0.33
2021-03-15T00:00:00+00:00,306462855.502471000000000000000000,167017767.697580617370913135000000000000000000,349962192.770909000000000000000000,0.3721726021024375,0.202828617188969,0.4249987807085935,0.33
2021-03-14T00:00:00+00:00,250866887.026180000000000000000000,162901853.270047711427947771000000000000000000,382226195.628379000000000000000000,0.31516141083834864,0.2046518714102436,0.4801867177514077,0.33
2021-03-13T00:00:00+00:00,251211682.560969000000000000000000,161299844.605998025066049683000000000000000000,373090466.352732000000000000000000,0.31976966025184844,0.20532005511255544,0.4749102846355961,0.33
2021-03-12T00:00:00+00:00,245574419.335966000000000000000000,180294525.243809062117720783000000000000000000,346168722.196564000000000000000000,0.3180860596625649,0.23353073690903317,0.4483832034284019,0.33
2021-03-11T00:00:00+00:00,258130122.384358000000000000000000,211159069.993736396352988343000000000000000000,266126465.467023000000000000000000,0.3509989481876406,0.2871288743191373,0.3618721774932221,0.33
2021-03-10T00:00:00+00:00,265244324.479398000000000000000000,205073188.786721132747260636000000000000000000,267458826.102959000000000000000000,0.3595186106215146,0.2779611893790101,0.3625201999994753,0.33
2021-03-09T00:00:00+00:00,263533211.894759000000000000000000,180677241.059272169854661925000000000000000000,275051870.405316000000000000000000,0.36639373888502214,0.2511979776938836,0.3824082834210943,0.33
2021-03-08T00:00:00+00:00,242098519.140753000000000000000000,185225248.252521576228475536000000000000000000,235814702.233240000000000000000000,0.3650798893888708,0.2793160957120193,0.35560401489910987,0.33
2021-03-07T00:00:00+00:00,211615017.349914000000000000000000,170038623.447649759896274336000000000000000000,232143351.471596000000000000000000,0.34476385517561714,0.2770274628082327,0.3782086820161501,0.33
2021-03-06T00:00:00+00:00,291698604.364509000000000000000000,178625381.393618604151974807000000000000000000,351738578.118717000000000000000000,0.35483747488616835,0.21728927850846513,0.4278732466053665,0.33
2021-03-05T00:00:00+00:00,297895715.726481000000000000000000,176686232.981604926095209689000000000000000000,365917841.692912000000000000000000,0.3544268768756701,0.2102156776235588,0.4353574455007711,0.33
2021-03-04T00:00:00+00:00,330628074.752247000000000000000000,189424473.899420240187918447000000000000000000,302306136.831238000000000000000000,0.4020484985309004,0.23034288716508958,0.36760861430401004,0.33
2021-03-03T00:00:00+00:00,304999798.801260000000000000000000,193409587.401118628524442963000000000000000000,282370647.926370000000000000000000,0.3906347312551365,0.2477132853646023,0.3616519833802612,0.33
2021-03-02T00:00:00+00:00,260338473.294219000000000000000000,177168826.598895997264423347000000000000000000,228876809.014385000000000000000000,0.390673291596088,0.26586592361776834,0.3434607847861437,0.33
2021-03-01T00:00:00+00:00,316234580.019036000000000000000000,154255999.881773559328586695000000000000000000,189325963.649160000000000000000000,0.4792765248316129,0.23378619616270863,0.28693727900567845,0.33
2021-02-28T00:00:00+00:00,291714401.267735000000000000000000,125470267.048162534366359148000000000000000000,232683311.099578000000000000000000,0.44888255846998004,0.19307039432996362,0.3580470472000563,0.33
2021-02-27T00:00:00+00:00,249873610.436305000000000000000000,142406172.870779310303029543000000000000000000,267663488.217918000000000000000000,0.37862892345109456,0.21578547583598506,0.4055856007129204,0.33
2021-02-26T00:00:00+00:00,243853373.699075000000000000000000,157905252.143359050899216414000000000000000000,282423963.308245000000000000000000,0.35641563753001415,0.2307940228928907,0.41279033957709516,0.33
2021-02-25T00:00:00+00:00,262223737.151378000000000000000000,174197855.659383632138941102000000000000000000,273851584.831337000000000000000000,0.3691871598219222,0.2452547289448126,0.3855581112332652,0.33
