time,frax,crv3,frax_p,crv3_p,total,ideal
2022-06-26T00:00:00+00:00,765890298.486564201400594525000000000000000000,485546701.875235134885196745000000000000000000,0.612008673441124,0.387991326558876,1251437000.361799336285791270000000000000000000,0.50
2022-06-25T00:00:00+00:00,765942396.925784872728395425000000000000000000,475888085.173999961062892745000000000000000000,0.6167849863297518,0.3832150136702482,1241830482.099784833791288170000000000000000000,0.50
2022-06-24T00:00:00+00:00,766183817.499591438179783825000000000000000000,475412251.043135468804655231000000000000000000,0.6170958791766058,0.38290412082339415,1241596068.542726906984439056000000000000000000,0.50
2022-06-23T00:00:00+00:00,767192582.069107099367750425000000000000000000,474310805.220084655303616731000000000000000000,0.6179544815775841,0.3820455184224159,1241503387.289191754671367156000000000000000000,0.50
2022-06-22T00:00:00+00:00,766419134.817446352893329225000000000000000000,475223899.207449660340510931000000000000000000,0.6172620582688978,0.38273794173110226,1241643034.024896013233840156000000000000000000,0.50
2022-06-21T00:00:00+00:00,759843816.370820171169990425000000000000000000,484471839.566176025373510207000000000000000000,0.6106519778525503,0.38934802214744973,1244315655.936996196543500632000000000000000000,0.50
2022-06-20T00:00:00+00:00,759697449.557233517501375317000000000000000000,485425734.542867226810284507000000000000000000,0.6101383857102433,0.38986161428975674,1245123184.100100744311659824000000000000000000,0.50
2022-06-19T00:00:00+00:00,760518006.616348669547416817000000000000000000,490609413.906363856190511226000000000000000000,0.6078661486762151,0.3921338513237849,1251127420.522712525737928043000000000000000000,0.50
2022-06-18T00:00:00+00:00,756702005.618325196068539117000000000000000000,497944484.253686102195900826000000000000000000,0.603119692859076,0.39688030714092404,1254646489.872011298264439943000000000000000000,0.50
2022-06-17T00:00:00+00:00,810025428.054794504161288417000000000000000000,515375430.105649338746606299000000000000000000,0.6111550502381963,0.3888449497618037,1325400858.160443842907894716000000000000000000,0.50
2022-06-16T00:00:00+00:00,802588204.854654818724077017000000000000000000,525600562.575185983912279499000000000000000000,0.6042726941651011,0.3957273058348989,1328188767.429840802636356516000000000000000000,0.50
2022-06-15T00:00:00+00:00,798202544.419289146237799004000000000000000000,515459204.592801125431325399000000000000000000,0.6076164926165807,0.39238350738341937,1313661749.012090271669124403000000000000000000,0.50
2022-06-14T00:00:00+00:00,818995210.378314540188714104000000000000000000,549960201.163073132343022911000000000000000000,0.598262882394511,0.4017371176054891,1368955411.541387672531737015000000000000000000,0.50
2022-06-13T00:00:00+00:00,799505500.714383859682929204000000000000000000,708646317.207763310770818711000000000000000000,0.5301226913719475,0.4698773086280526,1508151817.922147170453747915000000000000000000,0.50
2022-06-12T00:00:00+00:00,800714537.411922315029622304000000000000000000,800791202.047203107503920911000000000000000000,0.4999760648265592,0.5000239351734408,1601505739.459125422533543215000000000000000000,0.50
2022-06-11T00:00:00+00:00,800998543.599744466340437381000000000000000000,812775243.099899802305652758000000000000000000,0.49635119259055505,0.503648807409445,1613773786.699644268646090139000000000000000000,0.50
2022-06-10T00:00:00+00:00,800886350.414953903206182081000000000000000000,810119451.214851661860167858000000000000000000,0.49713436761352536,0.5028656323864746,1611005801.629805565066349939000000000000000000,0.50
2022-06-09T00:00:00+00:00,786977223.092378631105535881000000000000000000,803821755.451866233790263258000000000000000000,0.4947056376743144,0.5052943623256856,1590798978.544244864895799139000000000000000000,0.50
2022-06-08T00:00:00+00:00,790065671.507409192910246881000000000000000000,801732595.460983534143796258000000000000000000,0.49633530071125337,0.5036646992887466,1591798266.968392727054043139000000000000000000,0.50
2022-06-07T00:00:00+00:00,794637598.367231332328864781000000000000000000,797944222.841369872851515244000000000000000000,0.49896186669026865,0.5010381333097313,1592581821.208601205180380025000000000000000000,0.50
2022-06-06T00:00:00+00:00,767468431.049969687706921081000000000000000000,785493823.908987666151210244000000000000000000,0.4941964484965881,0.5058035515034119,1552962254.958957353858131325000000000000000000,0.50
2022-06-05T00:00:00+00:00,770262776.405999716579674071000000000000000000,760984703.622760962837847935000000000000000000,0.5030295797721295,0.4969704202278705,1531247480.028760679417522006000000000000000000,0.50
2022-06-04T00:00:00+00:00,761139218.326191001928830303000000000000000000,765438883.567662195718711008000000000000000000,0.49859173099753723,0.5014082690024628,1526578101.893853197647541311000000000000000000,0.50
2022-06-03T00:00:00+00:00,756869854.633388099368929603000000000000000000,762500030.535833395881216446000000000000000000,0.4981472003764843,0.5018527996235157,1519369885.169221495250146049000000000000000000,0.50
2022-06-02T00:00:00+00:00,706802683.349940963092336503000000000000000000,760267726.964929466434141746000000000000000000,0.48177829665192634,0.5182217033480736,1467070410.314870429526478249000000000000000000,0.50
2022-06-01T00:00:00+00:00,710297980.777752214960505303000000000000000000,754113477.435679408584302246000000000000000000,0.4850398955798319,0.5149601044201682,1464411458.213431623544807549000000000000000000,0.50
2022-05-31T00:00:00+00:00,715558243.850886371651005238000000000000000000,681488185.962889975429427646000000000000000000,0.5121936025750189,0.4878063974249811,1397046429.813776347080432884000000000000000000,0.50
2022-05-30T00:00:00+00:00,716904732.116849040019349838000000000000000000,672618569.503330337967941646000000000000000000,0.5159357394589501,0.4840642605410499,1389523301.620179377987291484000000000000000000,0.50
2022-05-29T00:00:00+00:00,717000785.082586934496826238000000000000000000,670607813.505560078536267546000000000000000000,0.5167168795380161,0.48328312046198385,1387608598.588147013033093784000000000000000000,0.50
2022-05-28T00:00:00+00:00,717322954.404361428250766738000000000000000000,670149197.488545774712924546000000000000000000,0.5169998932416255,0.4830001067583745,1387472151.892907202963691284000000000000000000,0.50
2022-05-27T00:00:00+00:00,721035968.104975730404310966000000000000000000,660124365.482163841965529146000000000000000000,0.5220508803871499,0.4779491196128502,1381160333.587139572369840112000000000000000000,0.50
2022-05-26T00:00:00+00:00,720820499.059252624658589166000000000000000000,657353534.312131607745730946000000000000000000,0.5230257439228715,0.47697425607712846,1378174033.371384232404320112000000000000000000,0.50
2022-05-25T00:00:00+00:00,719824535.634298847725296366000000000000000000,655779938.746297411889079481000000000000000000,0.5232787105889719,0.4767212894110281,1375604474.380596259614375847000000000000000000,0.50
2022-05-24T00:00:00+00:00,722566611.842456761191459766000000000000000000,649144585.187112550893047217000000000000000000,0.5267629318818491,0.47323706811815086,1371711197.029569312084506983000000000000000000,0.50
2022-05-23T00:00:00+00:00,720752627.303257536722259227000000000000000000,644923183.356655357869694217000000000000000000,0.5277626078439364,0.4722373921560636,1365675810.659912894591953444000000000000000000,0.50
2022-05-22T00:00:00+00:00,723927514.970082431261643727000000000000000000,640069702.693279111063239617000000000000000000,0.530739729960908,0.46926027003909193,1363997217.663361542324883344000000000000000000,0.50
2022-05-21T00:00:00+00:00,729233330.858281749257948427000000000000000000,629415150.125216276444996594000000000000000000,0.5367343658533402,0.4632656341466598,1358648480.983498025702945021000000000000000000,0.50
