time,cvxcrv,crv,cvxcrv_p,crv_p,ideal
2022-03-01T00:00:00+00:00,45306450.620817700952207374000000000000000000,14386001.536169080078575336000000000000000000,0.7589979802080346,0.24100201979196548,0.50
2022-02-28T00:00:00+00:00,44266638.210842641909146974000000000000000000,13348683.894572953977869222000000000000000000,0.7683136463222474,0.2316863536777526,0.50
2022-02-27T00:00:00+00:00,43937849.508028818266832474000000000000000000,13404106.003209737438181222000000000000000000,0.7662426074642216,0.23375739253577849,0.50
2022-02-26T00:00:00+00:00,43054385.547255383862351834000000000000000000,13870490.660629358321248421000000000000000000,0.7563369200843666,0.2436630799156334,0.50
2022-02-25T00:00:00+00:00,43284195.768382858657299472000000000000000000,13808697.651007059661328030000000000000000000,0.7581363139266412,0.24186368607335887,0.50
2022-02-24T00:00:00+00:00,44084986.466081524838724102000000000000000000,12881211.605344758650211323000000000000000000,0.7738797384864297,0.22612026151357037,0.50
2022-02-23T00:00:00+00:00,45532196.535010708029895002000000000000000000,12037111.191291599942144259000000000000000000,0.790910961644375,0.20908903835562498,0.50
2022-02-22T00:00:00+00:00,47048509.204521067160341402000000000000000000,10456210.122390209680115059000000000000000000,0.8181677913607889,0.18183220863921115,0.50
2022-02-21T00:00:00+00:00,45279315.755654710686973496000000000000000000,14145504.666886892683965685000000000000000000,0.7619596564818379,0.238040343518162,0.50
2022-02-20T00:00:00+00:00,45458889.304220869451192793000000000000000000,13787882.597335077337154948000000000000000000,0.7672804415362083,0.23271955846379164,0.50
2022-02-19T00:00:00+00:00,43514597.147056137401057835000000000000000000,15123852.680560672299390603000000000000000000,0.7420830065422734,0.25791699345772656,0.50
2022-02-18T00:00:00+00:00,43773379.522695203287933562000000000000000000,14792679.332290301601948061000000000000000000,0.7474189040290687,0.25258109597093126,0.50
2022-02-17T00:00:00+00:00,43320483.760233347906219062000000000000000000,14865592.277727055217886796000000000000000000,0.7445163295076164,0.25548367049238363,0.50
2022-02-16T00:00:00+00:00,43446073.074522394072541941000000000000000000,14399485.099541898123963190000000000000000000,0.7510701676313313,0.2489298323686687,0.50
2022-02-15T00:00:00+00:00,42153716.345633031073479641000000000000000000,15763796.135879299676067190000000000000000000,0.7278233221616482,0.27217667783835175,0.50
2022-02-14T00:00:00+00:00,41497983.666696268250723541000000000000000000,15870431.295086196461048290000000000000000000,0.7233594251181819,0.2766405748818181,0.50
2022-02-13T00:00:00+00:00,41711017.858040734393273541000000000000000000,14754649.116797068633392290000000000000000000,0.738696983365626,0.26130301663437405,0.50
2022-02-12T00:00:00+00:00,41501649.976973509867484541000000000000000000,15033480.995725927878206890000000000000000000,0.7340860322232997,0.2659139677767003,0.50
2022-02-11T00:00:00+00:00,40538620.648332127165933141000000000000000000,14672593.272685901546652390000000000000000000,0.7342461389514879,0.26575386104851206,0.50
2022-02-10T00:00:00+00:00,39333979.196849385357516341000000000000000000,16687715.173071958435067076000000000000000000,0.7021204845594285,0.29787951544057145,0.50
2022-02-09T00:00:00+00:00,37943013.460006262736105041000000000000000000,16389568.083429717866794376000000000000000000,0.698347333812454,0.30165266618754605,0.50
2022-02-08T00:00:00+00:00,37759320.676282339739416041000000000000000000,16716899.842807310538449876000000000000000000,0.6931340007894023,0.3068659992105977,0.50
2022-02-07T00:00:00+00:00,38182102.301285040506957141000000000000000000,16195411.744706027120446576000000000000000000,0.7021671176249732,0.2978328823750268,0.50
2022-02-06T00:00:00+00:00,38079169.126551019523557841000000000000000000,16254357.031235856596757072000000000000000000,0.7008411163296763,0.2991588836703237,0.50
2022-02-05T00:00:00+00:00,37813209.576884456762107441000000000000000000,18814766.002430516184338670000000000000000000,0.6677478611948975,0.33225213880510257,0.50
2022-02-04T00:00:00+00:00,37672374.260532171432956441000000000000000000,18463549.131283058520836325000000000000000000,0.6710920919139082,0.3289079080860919,0.50
