time,crv3,mim,mim_p,crv3_p,ideal
2022-03-14T00:00:00+00:00,304409893.231174713848388962000000000000000000,884614093.004763338459897603000000000000000000,0.743983387421109,0.25601661257889097,0.50
2022-03-13T00:00:00+00:00,273610678.863927792053750762000000000000000000,913893224.516812287791666703000000000000000000,0.7695917646375919,0.230408235362408,0.50
2022-03-12T00:00:00+00:00,205175537.368207240208029362000000000000000000,986527055.460758789470986303000000000000000000,0.8278299144410318,0.17217008555896812,0.50
2022-03-11T00:00:00+00:00,205630699.879902328083007962000000000000000000,989412572.611323231212971903000000000000000000,0.8279303313835339,0.17206966861646605,0.50
2022-03-10T00:00:00+00:00,214393195.213968616192941665000000000000000000,1000104640.212112034802227303000000000000000000,0.8234717354282041,0.1765282645717959,0.50
2022-03-09T00:00:00+00:00,225132790.905276635939515765000000000000000000,993768403.442398926100542503000000000000000000,0.8152985722310643,0.1847014277689357,0.50
2022-03-08T00:00:00+00:00,219377707.333746105825005865000000000000000000,995918629.996007164663939603000000000000000000,0.8194862433176073,0.1805137566823927,0.50
2022-03-07T00:00:00+00:00,273086261.283752433732103365000000000000000000,979606300.302295001115393903000000000000000000,0.7820005724804536,0.21799942751954637,0.50
2022-03-06T00:00:00+00:00,316513857.280727386309004865000000000000000000,954679679.011843896595180903000000000000000000,0.7510104887696029,0.24898951123039711,0.50
2022-03-05T00:00:00+00:00,360474216.993907421442630165000000000000000000,906213835.560854964297568703000000000000000000,0.7154198965823725,0.28458010341762746,0.50
2022-03-04T00:00:00+00:00,359418084.630082005647613965000000000000000000,876177114.519203595728537703000000000000000000,0.7091134014784588,0.2908865985215412,0.50
2022-03-03T00:00:00+00:00,357054878.117986703704706172000000000000000000,806299694.049836885067670603000000000000000000,0.6930816393727307,0.30691836062726935,0.50
2022-03-02T00:00:00+00:00,334191935.760862354569950055000000000000000000,644160650.708734859615068403000000000000000000,0.6584136022302554,0.3415863977697447,0.50
2022-03-01T00:00:00+00:00,303502137.500245686384634155000000000000000000,640549769.573099512838892603000000000000000000,0.6785111758937784,0.32148882410622154,0.50
2022-02-28T00:00:00+00:00,285247435.462843880598655355000000000000000000,646821126.492527881474418903000000000000000000,0.6939630332940017,0.30603696670599834,0.50
2022-02-27T00:00:00+00:00,269136118.711288055174755155000000000000000000,661650758.459716665015390003000000000000000000,0.71085097425386,0.28914902574613993,0.50
2022-02-26T00:00:00+00:00,282145709.762215801815981855000000000000000000,699379320.352381139251401503000000000000000000,0.712543540810901,0.287456459189099,0.50
2022-02-25T00:00:00+00:00,269117973.841452946016176468000000000000000000,723848519.347314065110177503000000000000000000,0.7289757754290179,0.2710242245709821,0.50
2022-02-24T00:00:00+00:00,181325137.005450081621676868000000000000000000,873281517.961942538271283403000000000000000000,0.8280637276928083,0.1719362723071916,0.50
2022-02-23T00:00:00+00:00,156513414.199164230721559461000000000000000000,972373174.718957856548432305000000000000000000,0.861355945109455,0.13864405489054502,0.50
2022-02-22T00:00:00+00:00,131915050.945255175342533781000000000000000000,985147165.787883308170355405000000000000000000,0.8819089492337837,0.1180910507662163,0.50
2022-02-21T00:00:00+00:00,151427650.267381905079518666000000000000000000,993700786.557645570612410205000000000000000000,0.8677636102660862,0.13223638973391388,0.50
2022-02-20T00:00:00+00:00,160702093.447174057646804666000000000000000000,988810645.838843764303141705000000000000000000,0.8601998151434243,0.13980018485657575,0.50
2022-02-19T00:00:00+00:00,171134120.619015145042777518000000000000000000,1003895202.427549660209394005000000000000000000,0.8543575745196672,0.14564242548033274,0.50
2022-02-18T00:00:00+00:00,166788928.102488602760453318000000000000000000,1006933296.244354872768578305000000000000000000,0.857897444009545,0.1421025559904549,0.50
2022-02-17T00:00:00+00:00,172964594.390318393704356618000000000000000000,1007601635.384876655660146505000000000000000000,0.8534901388605242,0.14650986113947587,0.50
2022-02-16T00:00:00+00:00,206193605.437430146704431580000000000000000000,1003433896.246221141076018605000000000000000000,0.8295395854091989,0.1704604145908011,0.50
2022-02-15T00:00:00+00:00,194722055.515734770232482580000000000000000000,1004625234.743825578787184605000000000000000000,0.8376433105763774,0.16235668942362258,0.50
2022-02-14T00:00:00+00:00,184581259.072289108684355344000000000000000000,1003781939.145173313614411687000000000000000000,0.8446760558142832,0.15532394418571685,0.50
2022-02-13T00:00:00+00:00,202695381.735563332037778144000000000000000000,1005726983.108476310712789187000000000000000000,0.8322644568385463,0.16773554316145367,0.50
2022-02-12T00:00:00+00:00,226329456.307082255870382899000000000000000000,1005024894.048825167164941687000000000000000000,0.8161946995666483,0.18380530043335178,0.50
2022-02-11T00:00:00+00:00,226317144.355857900493107260000000000000000000,1010590461.955216579988574087000000000000000000,0.8170298709449924,0.18297012905500765,0.50
2022-02-10T00:00:00+00:00,245230703.288538334943007660000000000000000000,985330364.975972942590549087000000000000000000,0.8007163483284964,0.1992836516715037,0.50
2022-02-09T00:00:00+00:00,249267915.290400111381070475000000000000000000,976284520.233321253732613829000000000000000000,0.7966077108860061,0.2033922891139939,0.50
2022-02-08T00:00:00+00:00,229318876.833596269680196075000000000000000000,976263845.589397372448797929000000000000000000,0.8097858632440347,0.1902141367559653,0.50
2022-02-07T00:00:00+00:00,210710809.089295573595036943000000000000000000,967539109.939098876357545029000000000000000000,0.821166285958202,0.17883371404179801,0.50
2022-02-06T00:00:00+00:00,264093436.390007114749565843000000000000000000,911893527.533580784092874329000000000000000000,0.7754282619690952,0.22457173803090483,0.50
2022-02-05T00:00:00+00:00,190570478.854470893243255443000000000000000000,933633210.587654882989222829000000000000000000,0.8304840300345933,0.1695159699654068,0.50
2022-02-04T00:00:00+00:00,191049338.680406755642789137000000000000000000,912212791.990189913284997329000000000000000000,0.8268323244592098,0.17316767554079018,0.50
2022-02-03T00:00:00+00:00,174451207.147087873072113237000000000000000000,898896716.266135556128327029000000000000000000,0.8374700287374324,0.16252997126256766,0.50
2022-02-02T00:00:00+00:00,141504541.974931616738993225000000000000000000,872761571.963721589632858529000000000000000000,0.8604857837304319,0.13951421626956806,0.50
2022-02-01T00:00:00+00:00,120254545.646612936909032325000000000000000000,830232865.601806068227324029000000000000000000,0.8734811800519646,0.12651881994803532,0.50
2022-01-31T00:00:00+00:00,100695377.545857072037556320000000000000000000,812601792.064589988366095129000000000000000000,0.8897452210556974,0.11025477894430259,0.50
2022-01-30T00:00:00+00:00,73209735.910227071735841572000000000000000000,681735395.002807532757715958000000000000000000,0.9030264148843681,0.09697358511563196,0.50
2022-01-29T00:00:00+00:00,62859267.224921230445838972000000000000000000,599261101.797360364108742858000000000000000000,0.905063686051915,0.09493631394808502,0.50
2022-01-28T00:00:00+00:00,48538162.800162915835368385000000000000000000,635289304.933818869344573258000000000000000000,0.9290198696448898,0.07098013035511017,0.50
2022-01-27T00:00:00+00:00,104830502.320808605181101923000000000000000000,1006540774.275845737037773358000000000000000000,0.9056746340954299,0.0943253659045701,0.50
2022-01-26T00:00:00+00:00,1328903376.029564072490047251000000000000000000,1337069526.182045881835387800000000000000000000,0.5015315516046145,0.4984684483953855,0.50
2022-01-25T00:00:00+00:00,1430066167.329174318733800841000000000000000000,1335935276.089873725531603127000000000000000000,0.48298430185868857,0.5170156981413114,0.50
2022-01-24T00:00:00+00:00,1428470031.305506296541590961000000000000000000,1156720502.021345231270271474000000000000000000,0.4474411023518545,0.5525588976481455,0.50
2022-01-23T00:00:00+00:00,1413396129.138578603326866950000000000000000000,1129219949.210767295846220874000000000000000000,0.44411736353993775,0.5558826364600622,0.50
2022-01-22T00:00:00+00:00,1432897916.988103505120186175000000000000000000,1145112138.561916051957253474000000000000000000,0.444184512041248,0.555815487958752,0.50
2022-01-21T00:00:00+00:00,1750340129.057501406540689956000000000000000000,1348235761.621711259770725850000000000000000000,0.4351146491771663,0.5648853508228336,0.50
