time,alusd,crv3,alusd_p,crv3_p,ideal
2021-08-29T00:00:00+00:00,225965378.207783507894548979000000000000000000,162655117.834494254461331848000000000000000000,0.581455122694303,0.418544877305697,0.50
2021-08-28T00:00:00+00:00,226855680.011491296631016679000000000000000000,159893326.475340329538744960000000000000000000,0.5865708151966913,0.41342918480330865,0.50
2021-08-27T00:00:00+00:00,226563550.834861465135823879000000000000000000,161915742.424245085466010060000000000000000000,0.5832062474530628,0.4167937525469371,0.50
2021-08-26T00:00:00+00:00,226242846.852831476329325174000000000000000000,159779138.095962227839804768000000000000000000,0.5860879837785479,0.4139120162214521,0.50
2021-08-25T00:00:00+00:00,226411669.325407100315162474000000000000000000,165587525.745230909000261641000000000000000000,0.5775819750971883,0.4224180249028117,0.50
2021-08-24T00:00:00+00:00,226994285.333597878379488774000000000000000000,166162241.632479808184355564000000000000000000,0.5773636446666022,0.42263635533339783,0.50
2021-08-23T00:00:00+00:00,225910159.085240729194795474000000000000000000,177786464.425664706178941321000000000000000000,0.5596037864288405,0.44039621357115954,0.50
2021-08-22T00:00:00+00:00,227253287.011224604814204174000000000000000000,188175964.041991191352702897000000000000000000,0.5470324644571402,0.4529675355428599,0.50
2021-08-21T00:00:00+00:00,225679588.109513482506431374000000000000000000,185737369.320419237045358846000000000000000000,0.5485422611632345,0.4514577388367655,0.50
2021-08-20T00:00:00+00:00,225184016.625529599406675974000000000000000000,184158554.897366685846265674000000000000000000,0.5501114037266317,0.4498885962733683,0.50
2021-08-19T00:00:00+00:00,232230567.560338900898843274000000000000000000,216603989.717436331428105419000000000000000000,0.5174079486411198,0.4825920513588801,0.50
2021-08-18T00:00:00+00:00,234991350.110527904157147274000000000000000000,202951278.710491931159763940000000000000000000,0.5365802154111952,0.46341978458880484,0.50
2021-08-17T00:00:00+00:00,236491661.328224380361470874000000000000000000,209108334.350994599756983458000000000000000000,0.5307263546260699,0.4692736453739301,0.50
2021-08-16T00:00:00+00:00,235488808.987506706232572074000000000000000000,218291540.473844984918542570000000000000000000,0.5189488907288243,0.48105110927117567,0.50
2021-08-15T00:00:00+00:00,230580220.903287406907649674000000000000000000,218215434.512212463678285518000000000000000000,0.513775519261241,0.48622448073875907,0.50
2021-08-14T00:00:00+00:00,230287986.130365859827909974000000000000000000,222265595.141892088185050717000000000000000000,0.5088634708910275,0.49113652910897254,0.50
2021-08-13T00:00:00+00:00,232410617.855231552055295574000000000000000000,218718040.598241910794678817000000000000000000,0.5151759115724653,0.48482408842753466,0.50
2021-08-12T00:00:00+00:00,233513433.918859861679612274000000000000000000,229222927.766385129563350437000000000000000000,0.5046360157832087,0.4953639842167913,0.50
2021-08-11T00:00:00+00:00,232910313.275366081156434574000000000000000000,234176832.217239802771891737000000000000000000,0.4986442369972117,0.5013557630027883,0.50
2021-08-10T00:00:00+00:00,234954184.591909196487990774000000000000000000,248516767.593087084940168037000000000000000000,0.48597373540242367,0.5140262645975764,0.50
2021-08-09T00:00:00+00:00,234935552.820489009604570174000000000000000000,243918523.100386595462353837000000000000000000,0.49062034685345157,0.5093796531465484,0.50
2021-08-08T00:00:00+00:00,233595916.244032423864541974000000000000000000,248998922.266871072636028937000000000000000000,0.4840414724799314,0.5159585275200687,0.50
2021-08-07T00:00:00+00:00,229317569.014344162229781974000000000000000000,237755150.222746707491761834000000000000000000,0.49096759363061887,0.5090324063693812,0.50
2021-08-06T00:00:00+00:00,229561150.595559564245893774000000000000000000,233953547.148359650568906234000000000000000000,0.4952618583896268,0.5047381416103732,0.50
2021-08-05T00:00:00+00:00,226738646.642073295460308374000000000000000000,238462468.213912038444671834000000000000000000,0.48739919015943445,0.5126008098405656,0.50
2021-08-04T00:00:00+00:00,226408726.807813474979620574000000000000000000,234619160.146230345634357953000000000000000000,0.4910955133401341,0.5089044866598659,0.50
2021-08-03T00:00:00+00:00,226127949.252043622936097574000000000000000000,234209602.756454619771327153000000000000000000,0.49122203536388687,0.5087779646361131,0.50
2021-08-02T00:00:00+00:00,223258175.128158345629132374000000000000000000,238757824.974932427428553733000000000000000000,0.48322606809794943,0.5167739319020506,0.50
2021-08-01T00:00:00+00:00,219457933.910342172475576974000000000000000000,228832267.042280592021688401000000000000000000,0.48954434748738895,0.510455652512611,0.50
2021-07-31T00:00:00+00:00,219493422.498514556878444874000000000000000000,223071109.789383322358077452000000000000000000,0.49595800495763476,0.5040419950423652,0.50
2021-07-30T00:00:00+00:00,219016866.341405446801412874000000000000000000,220775863.804624149178710350000000000000000000,0.4980001972035388,0.5019998027964613,0.50
2021-07-29T00:00:00+00:00,218687537.567112723773477574000000000000000000,220069187.552952941701821766000000000000000000,0.49842549423548765,0.5015745057645123,0.50
2021-07-28T00:00:00+00:00,218791387.009143016003392874000000000000000000,220433930.323975911369983582000000000000000000,0.4981301814239602,0.5018698185760399,0.50
2021-07-27T00:00:00+00:00,218706828.692668869826749874000000000000000000,224044418.545532867410509631000000000000000000,0.49397224752481345,0.5060277524751865,0.50
2021-07-26T00:00:00+00:00,217316248.061624707861371474000000000000000000,229401141.598874167152529605000000000000000000,0.4864736701357945,0.5135263298642055,0.50
2021-07-25T00:00:00+00:00,216226813.941782614336184874000000000000000000,227699834.873768749578293905000000000000000000,0.487077796565494,0.512922203434506,0.50
2021-07-24T00:00:00+00:00,215712371.012764267122588574000000000000000000,227384391.735685108627097760000000000000000000,0.48682903859360044,0.5131709614063996,0.50
2021-07-23T00:00:00+00:00,208121777.180569741270455874000000000000000000,214041906.456657936654900960000000000000000000,0.4929883484705716,0.5070116515294284,0.50
2021-07-22T00:00:00+00:00,207397799.399628733085435974000000000000000000,218678035.116594947771675711000000000000000000,0.4867626431691743,0.5132373568308257,0.50
2021-07-21T00:00:00+00:00,206617015.711686519370850327000000000000000000,210643099.099449050327249311000000000000000000,0.4951755712505797,0.5048244287494204,0.50
2021-07-20T00:00:00+00:00,207107933.250190654272803427000000000000000000,205904558.752465071791308136000000000000000000,0.5014568257873878,0.49854317421261213,0.50
2021-07-19T00:00:00+00:00,207171205.430160246611647327000000000000000000,215538701.542912222469800887000000000000000000,0.4901025549972679,0.5098974450027322,0.50
2021-07-18T00:00:00+00:00,205550277.337609719331795527000000000000000000,214988676.933968627059167070000000000000000000,0.48877821007960215,0.5112217899203979,0.50
2021-07-17T00:00:00+00:00,204335020.948926144658874517000000000000000000,215444444.573071034429534405000000000000000000,0.48676754756175333,0.5132324524382467,0.50
2021-07-16T00:00:00+00:00,199499603.022660492988500017000000000000000000,211279189.285552923045281430000000000000000000,0.485661886052221,0.5143381139477791,0.50
2021-07-15T00:00:00+00:00,198482086.369344721918091217000000000000000000,210334799.197137815570255030000000000000000000,0.4855036408154115,0.5144963591845885,0.50
2021-07-14T00:00:00+00:00,197830978.237207138179504217000000000000000000,203447837.462007395010113549000000000000000000,0.49300130108411894,0.506998698915881,0.50
2021-07-13T00:00:00+00:00,197921366.856473664129093433000000000000000000,200541219.968227392972442122000000000000000000,0.49671254818095845,0.5032874518190416,0.50
2021-07-12T00:00:00+00:00,209626626.104287034803241533000000000000000000,205865362.126963369582215785000000000000000000,0.504526277381828,0.4954737226181721,0.50
2021-07-11T00:00:00+00:00,211349151.217932831013524733000000000000000000,223529116.486576192149297827000000000000000000,0.4859961210145831,0.5140038789854169,0.50
2021-07-10T00:00:00+00:00,204385701.433466055260743165000000000000000000,216306508.680284893783464317000000000000000000,0.4858319134984748,0.5141680865015251,0.50
2021-07-09T00:00:00+00:00,203129634.232884554178120565000000000000000000,215148214.528608434417408008000000000000000000,0.48563325749700764,0.5143667425029923,0.50
2021-07-08T00:00:00+00:00,201858932.811577946124882465000000000000000000,208324757.044060225182384908000000000000000000,0.49211837965234806,0.5078816203476519,0.50
