,date,Token,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
140,2021-01-01,BUSD,15.0,7215.0,12.0,13.0,15.0,291.8471517,12281927.36,200.0,0.0,43776.60151
141,2021-01-01,BUSD,8.0,7200.0,6.0,9.0,11.0,3.524438033,12281635.51,0.0,0.0,43576.60151
142,2021-01-01,BUSD,12.0,7192.0,9.0,9.0,13.0,106.682547,12281631.99,0.0,0.0,43576.60151
143,2021-01-01,BUSD,136.0,7180.0,19.0,14.0,21.0,320.6676364,12281525.3,0.0,0.0,43576.60151
144,2021-01-01,BUSD,64.0,7044.0,20.0,21.0,23.0,164.1722501,12281204.64,0.0,0.0,43576.60151
145,2021-01-01,BUSD,109.0,6980.0,27.0,33.0,36.0,338.9047033,12281040.46,0.0,0.0,43576.60151
146,2021-01-01,BUSD,70.0,6871.0,15.0,18.0,21.0,156.3293644,12280701.56,0.0,0.0,43576.60151
147,2021-01-01,BUSD,70.0,6801.0,21.0,27.0,28.0,1659.007364,12280545.23,0.0,-127.9174835,43576.60151
148,2021-01-01,BUSD,4.0,6731.0,4.0,4.0,5.0,10.53885764,12278886.22,0.0,0.0,43704.51899
149,2021-01-01,BUSD,2.0,6727.0,2.0,2.0,3.0,0.913626832,12278875.68,0.0,0.0,43704.51899
150,2021-01-01,BUSD,13.0,6725.0,3.0,3.0,4.0,4.649581866,12278874.77,0.0,0.0,43704.51899
151,2021-01-01,BUSD,5.0,6712.0,4.0,5.0,7.0,4.11301785,12278870.12,0.0,0.0,43704.51899
152,2021-01-01,BUSD,7.0,6707.0,7.0,9.0,10.0,4.863125068,12278866.01,0.0,0.0,43704.51899
153,2021-01-01,BUSD,10.0,6700.0,9.0,8.0,10.0,28.32276042,12278861.14,0.0,0.0,43704.51899
154,2021-01-01,BUSD,8.0,6690.0,8.0,7.0,10.0,270.4003854,12278832.82,252.9336859,0.0,43704.51899
