date,pool_name,ideal,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,alusd,crv3,alusd_p,crv3_p,cvxcrv,crv,cvxcrv_p,crv_p,usdc,dai,usdt,usdc_p,dai_p,usdt_p,fei,fei_p,frax,frax_p,total,lusd,lusd_p,mim,mim_p,ust,ust_p,wbtc,renbtc,wbtc_p,renbtc_p,sbtc,sbtc_p,susd,susd_p,wust,protocol,chain
2020-06-02,renbtc:wbtc,0.5,renbtc,22.89491865,wbtc,12.89917052,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.89917052,22.89491865,0.3603715255537539,0.6396284744462462,,,,,,Curve,Ethereum
2020-06-02,susd:usdc-usdt-dai,0.5,susd,3405622.0304904208,crv3,2690980.0024809614,n/a,0,,2690980.0024809614,,0.4413901363296667,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405622.0304904208,0.5586098636703333,,Curve,Ethereum
2020-06-03,renbtc:wbtc,0.5,renbtc,23.49955034,wbtc,12.6690773,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.6690773,23.49955034,0.3502780759640677,0.6497219240359322,,,,,,Curve,Ethereum
2020-06-03,susd:usdc-usdt-dai,0.5,susd,3187099.86581422,crv3,2712279.0382191855,n/a,0,,2712279.0382191855,,0.4597567103826473,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187099.86581422,0.5402432896173527,,Curve,Ethereum
2020-06-04,susd:usdc-usdt-dai,0.5,susd,2881755.1648971294,crv3,2669654.5159581397,n/a,0,,2669654.5159581397,,0.4808966856048792,,,,,,,,,,,,,,,,,,,,,,,,,,,,2881755.1648971294,0.5191033143951208,,Curve,Ethereum
2020-06-04,renbtc:wbtc,0.5,renbtc,23.72697058,wbtc,12.57141321,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.57141321,23.72697058,0.3463353432684612,0.6536646567315387,,,,,,Curve,Ethereum
2020-06-05,renbtc:wbtc,0.5,renbtc,28.57980135,wbtc,7.90661742,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,7.90661742,28.57980135,0.2167002870257304,0.7832997129742695,,,,,,Curve,Ethereum
2020-06-05,susd:usdc-usdt-dai,0.5,susd,2956389.2938635615,crv3,2517466.4787677918,n/a,0,,2517466.4787677918,,0.459907345632823,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956389.2938635615,0.5400926543671769,,Curve,Ethereum
2020-06-06,renbtc:wbtc,0.5,renbtc,23.63725639,wbtc,16.16774833,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,16.16774833,23.63725639,0.4061737573887669,0.5938262426112332,,,,,,Curve,Ethereum
2020-06-06,susd:usdc-usdt-dai,0.5,susd,2869902.1670363625,crv3,2601979.539921305,n/a,0,,2601979.539921305,,0.4755182365533976,,,,,,,,,,,,,,,,,,,,,,,,,,,,2869902.1670363625,0.5244817634466024,,Curve,Ethereum
2020-06-07,renbtc:wbtc,0.5,renbtc,22.05489204,wbtc,16.95639711,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,16.95639711,22.05489204,0.4346535959066095,0.5653464040933905,,,,,,Curve,Ethereum
2020-06-07,susd:usdc-usdt-dai,0.5,susd,3070545.3311848924,crv3,2922460.720788917,n/a,0,,2922460.720788917,,0.4876452143455451,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070545.3311848924,0.5123547856544549,,Curve,Ethereum
2020-06-08,renbtc:wbtc,0.5,renbtc,22.16917899,wbtc,18.86853397,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,18.86853397,22.16917899,0.4597852221538615,0.5402147778461386,,,,,,Curve,Ethereum
2020-06-08,susd:usdc-usdt-dai,0.5,susd,3386082.9677610057,crv3,2707893.379066044,n/a,0,,2707893.379066044,,0.4443557416293489,,,,,,,,,,,,,,,,,,,,,,,,,,,,3386082.9677610057,0.5556442583706511,,Curve,Ethereum
2020-06-09,renbtc:wbtc,0.5,renbtc,22.45090653,wbtc,18.52768144,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,18.52768144,22.45090653,0.4521307921484245,0.5478692078515754,,,,,,Curve,Ethereum
2020-06-09,susd:usdc-usdt-dai,0.5,susd,3458193.6907427427,crv3,2673899.1707707597,n/a,0,,2673899.1707707597,,0.4360500128027736,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458193.6907427427,0.5639499871972263,,Curve,Ethereum
2020-06-10,renbtc:wbtc,0.5,renbtc,25.33634391,wbtc,16.43836715,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,16.43836715,25.33634391,0.3935004392104585,0.6064995607895415,,,,,,Curve,Ethereum
2020-06-10,susd:usdc-usdt-dai,0.5,susd,3561617.5705371746,crv3,2596081.541189289,n/a,0,,2596081.541189289,,0.4215992847467036,,,,,,,,,,,,,,,,,,,,,,,,,,,,3561617.5705371746,0.5784007152532964,,Curve,Ethereum
2020-06-11,susd:usdc-usdt-dai,0.5,susd,3523118.6469226982,crv3,2460030.5317078694,n/a,0,,2460030.5317078694,,0.4111598187279237,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523118.6469226982,0.5888401812720763,,Curve,Ethereum
