date,pool_name,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,token_4,token_4_balance,TVL,chain,protocol,protocol_version,daily_revenue
2021-11-03,av3CRV:BTC:WETH,av3CRV,29757140.51,BTC,942.0906447,WETH,6462.471268,n/a,0,29764545.0719127,Avalanche,Curve,V2,n/a
2021-11-03,av3CRV:WETH:BTC,av3CRV,29757140.51,WETH,29559078.35,BTC,59218076.47,n/a,0,118534295.33,Avalanche,Curve,V2,n/a
2021-11-03,avDAI:avUSDC:avUSDT,avDAI,224798274.0,avUSDC,214439452.0,avUSDT,147759075.5,n/a,0,586996801.5,Avalanche,Curve,V2,n/a
2021-11-04,av3CRV:WETH:BTC,av3CRV,29901645.44,WETH,29896878.99,BTC,60763407.36,n/a,0,120561931.78999999,Avalanche,Curve,V2,n/a
2021-11-04,av3CRV:BTC:WETH,av3CRV,29901645.44,BTC,981.3897717,WETH,6604.18656,n/a,0,29909231.016331702,Avalanche,Curve,V2,n/a
2021-11-04,avDAI:avUSDC:avUSDT,avDAI,223337263.4,avUSDC,217115103.8,avUSDT,154317325.4,n/a,0,594769692.6,Avalanche,Curve,V2,n/a
2021-11-05,av3CRV:BTC:WETH,av3CRV,29787479.26,BTC,980.7472593,WETH,6645.438374,n/a,0,29795105.445633303,Avalanche,Curve,V2,n/a
2021-11-05,avDAI:avUSDC:avUSDT,avDAI,224288500.4,avUSDC,217714225.4,avUSDT,153449813.8,n/a,0,595452539.6,Avalanche,Curve,V2,n/a
2021-11-05,av3CRV:WETH:BTC,av3CRV,29787479.26,WETH,29976092.51,BTC,60412596.7,n/a,0,120176168.47,Avalanche,Curve,V2,n/a
2021-11-06,av3CRV:WETH:BTC,av3CRV,30879470.73,WETH,30455617.92,BTC,61494118.11,n/a,0,122829206.76,Avalanche,Curve,V2,n/a
2021-11-06,av3CRV:BTC:WETH,av3CRV,30879470.73,BTC,1007.54604,WETH,6827.185015,n/a,0,30887305.461055,Avalanche,Curve,V2,n/a
2021-11-06,avDAI:avUSDC:avUSDT,avDAI,229989907.1,avUSDC,222675764.1,avUSDT,161036392.8,n/a,0,613702064.0,Avalanche,Curve,V2,n/a
2021-11-07,av3CRV:BTC:WETH,av3CRV,32012888.45,BTC,1012.42608,WETH,6982.959388,n/a,0,32020883.835467998,Avalanche,Curve,V2,n/a
2021-11-07,av3CRV:WETH:BTC,av3CRV,32012888.45,WETH,31990134.24,BTC,62944633.29,n/a,0,126947655.97999999,Avalanche,Curve,V2,n/a
2021-11-07,avDAI:avUSDC:avUSDT,avDAI,234772393.9,avUSDC,239737694.8,avUSDT,153087979.7,n/a,0,627598068.4000001,Avalanche,Curve,V2,n/a
2021-11-08,av3CRV:WETH:BTC,av3CRV,34398900.21,WETH,33412039.83,BTC,66353607.04,n/a,0,134164547.07999998,Avalanche,Curve,V2,n/a
2021-11-08,av3CRV:BTC:WETH,av3CRV,34398900.21,BTC,1007.812472,WETH,7088.343988,n/a,0,34406996.36646,Avalanche,Curve,V2,n/a
2021-11-08,av3CRV:MIM,av3CRV,0.0,MIM,3.0,n/a,0.0,n/a,0,3.0,Avalanche,Curve,V2,n/a
2021-11-08,avDAI:avUSDC:avUSDT,avDAI,226000524.7,avUSDC,248606264.3,avUSDT,148877688.7,n/a,0,623484477.7,Avalanche,Curve,V2,n/a
2021-11-09,av3CRV:MIM,av3CRV,-1.28e-16,MIM,27.96223666,n/a,0.0,n/a,0,27.96223666,Avalanche,Curve,V2,n/a
