id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
19030,14162064,1644278192,11430770763.80393085363971002621947,,,344707.466788991276762002332965,46732.049941335007698345553589,391439.516730326284460347886554,11430770763.80393085363971002621947,4006662116.944010269706717416568141,163769900.403854415486415381667001,25881122.102659629388557686256858,0,397738181.326068933650055993864137,120423021.409996985768426107549894,2022-02-07,V2,Ethereum,compound_ethereum,Compound
19031,14168456,1644363843,11501956959.07664100469068341859598,,,327944.51343539825727656405580195,44546.41833674902143035168326305,372490.931772147278706915739065,11501956959.07664100469068341859598,3984478729.599224546105276966845891,115095377.721248281221847066208052,78396727.924819465955818649253073,0,26641641.09805039365727435225133,69688756.138631689183617595775811,2022-02-08,V2,Ethereum,compound_ethereum,Compound
19032,14174971,1644450870,11278676639.10153965172953541206342,,,331510.60566114934564090978208465,45267.80665777600876033519890935,376778.412318925354401244980994,11278676639.10153965172953541206342,4014141693.029927443376408340796476,21713035.361390131262181957348452,15903314.76332682248433854876012,0,382972230.858498986682680625442235,23092612.229553650305626699502205,2022-02-09,V2,Ethereum,compound_ethereum,Compound
19033,14181351,1644536585,11619701629.99762538366180095077541,,,350181.05531729412550517860931025,47883.90821811418351536518806875,398064.963535408309020543797379,11619701629.99762538366180095077541,4430672790.97537941644324157448759,803674988.977533962362014045466556,470838664.198606594902044254160958,4038.767000508142952534229891502132,283183826.402840880240619525007991,46126686.080813054425581441658882,2022-02-10,V2,Ethereum,compound_ethereum,Compound
19034,14187916,1644623595,11351800364.32380519093217839993907,,,393556.319091050030170179902139,53544.471839264207716267066493,447100.790930314237886446968632,11351800364.32380519093217839993907,4381852967.650354353901860925146079,67810366.915891916200712722107587,81354548.836014850832279950050814,617392.0658293913834561585592209131,73446738.275727838500562627512832,120566463.705071403728467636355634,2022-02-11,V2,Ethereum,compound_ethereum,Compound
19035,14194378,1644710017,11454329926.57621442529749015379336,,,365386.88150675759267192780584955,50410.24093680586467984854782745,415797.122443563457351776353677,11454329926.57621442529749015379336,4379777411.812455632502625810028758,190480788.292333425673678748385489,46571388.5030567159813919534912,15616.31523572452329887471045291896,44893161.255552625699823865065076,57407326.621721683975166559025407,2022-02-12,V2,Ethereum,compound_ethereum,Compound
19036,14200861,1644796372,11304265466.42280159328476854387298,,,411601.76219976455036193687583045,54960.04313236767956435636291255,466561.805332132229926293238743,11304265466.42280159328476854387298,4367734448.375639304023614294031172,48670290.467691287294826398008662,36815438.757340611044177290924115,5878.577049930394213915648283982938,176293281.182804420922563202444468,36457890.691686564085702461199845,2022-02-13,V2,Ethereum,compound_ethereum,Compound
19037,14207333,1644883086,11379311569.6190769902483411870304,,,370613.04640735150713040577034585,51232.07628478036488442374320915,421845.122692131872014829513555,11379311569.6190769902483411870304,4371758557.430525851430238243757546,53170376.702245921081951115537071,26889884.753939386778604422405173,5133.74733696168169094055512671105,38711507.186703876133005501014304,25334661.414395589424342671215039,2022-02-14,V2,Ethereum,compound_ethereum,Compound
19038,14213816,1644969171,11534704163.54902844160200159780443,,,373166.1002670295451274655362591,51198.1195961499650646925311339,424364.219863179510192158067393,11534704163.54902844160200159780443,4313616109.986825579370783273567548,72564857.309364484386683695870059,21180339.909808241417473322638742,0,238324080.383530758990886055852202,93855652.551277787723722890006233,2022-02-15,V2,Ethereum,compound_ethereum,Compound
19039,14220254,1645055909,11503336023.73192308788973228619918,,,366921.9074402871257781008149257,50832.6765502624040856435698803,417754.583990549529863744384806,11503336023.73192308788973228619918,4300867621.203331748298536196105578,51680358.059927827956759280004846,25893781.58528602726830471931886,0,46471456.665940264141757959609618,38122742.3134096333073162366106,2022-02-16,V2,Ethereum,compound_ethereum,Compound
