id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
19198,15214805,1658793570,5989972263.0554674993546285224334,,,97620.09895195495885895601148230096,9145.887754333270396540435195157163,106765.9867062882292554964466774581,5989972263.0554674993546285224334,1652533311.273366646496846676073854,87976082.59726698395744721497575134,62771658.95296761152585218405699651,7278.190460967566884365565456954129,63798865.83609659324321920918947836,6612869.37511464891724474185444011,2022-07-25,V2,Ethereum,aave_v2_ethereum,Aave
19199,15221181,1658879923,5879248009.049169393901396787368854,,,94643.6787834774796726486084095017,8905.019676050475753734450639897852,103548.6984595279554263830590493995,5879248009.049169393901396787368854,1654399448.730835521054679829452453,135526264.1359727303980259437426397,46882693.72842972774590858332747985,20186.40492129509941287028471039154,52399347.23444413073224085257948107,426373.8347699021377119171588980894,2022-07-26,V2,Ethereum,aave_v2_ethereum,Aave
19200,15227617,1658966365,6369766680.749713054925160849869659,,,92573.97630877777242273073061337356,8520.348806735017384591337249811329,101094.3251155127898073220678631849,6369766680.749713054925160849869659,1743064766.084513403902849305074863,124019403.393640419959656432743777,55572180.86887118366833796142187148,2059.740551916285300010668369591799,99954199.36720996128983699424545536,3258323.973796443685155626423256645,2022-07-27,V2,Ethereum,aave_v2_ethereum,Aave
19201,15234058,1659052796,6566956113.532300960991974726534631,,,107216.9363010577664159414464065543,9851.206167824973574129457944545504,117068.1424688827399900709043511001,6566956113.532300960991974726534631,1782987807.62335172782070560941904,154382065.6664411702595225360089093,62541178.74865716798591652417638461,103320.8287504350999334327829644715,155213232.6158870957509381233365365,1257813.923467543197625134337186578,2022-07-28,V2,Ethereum,aave_v2_ethereum,Aave
19202,15240479,1659139137,6626122354.376345071469963371177745,,,103542.2925507560500722016938104491,9732.923672027180425664496146989524,113275.2162227832304978661899574384,6626122354.376345071469963371177745,1798830486.540338610704488706272174,123737304.8582780260216627723482733,73998747.7920618957834147393181803,2184.815704371130606484658237885412,52704557.47063892396234744011170991,19850382.42194787562226446729591416,2022-07-29,V2,Ethereum,aave_v2_ethereum,Aave
19203,15246886,1659225348,6541788998.031217049677643902920915,,,124097.4994332660542175226917891589,11989.01698109830238269097250944327,136086.5164143643566002136642986025,6541788998.031217049677643902920915,1789963788.99757518679361119871859,55200912.42534112353913781162784869,34086601.09918954562012691043942229,187302.8922236619981132359937412617,40448883.05889253877481231666455098,8420495.307179267627262991193469845,2022-07-30,V2,Ethereum,aave_v2_ethereum,Aave
19204,15253294,1659311795,6541224491.245703252675380186885975,,,125042.2106714530130453061863961577,11925.09253633769725057634064869134,136967.3032077907102958825270448491,6541224491.245703252675380186885975,1787338548.882105009865433395307274,126270059.7367171315429495933602759,31285132.66386363162002554994020149,1803.691796435558123170046510289961,73183623.53810735007844756431717355,5533321.421417287725977455082611845,2022-07-31,V2,Ethereum,aave_v2_ethereum,Aave
19205,15259740,1659398224,6408251346.483674190766952268264578,,,120690.3584509079123744631728878735,11270.28995013894829807122963689658,131960.6484010468606725344025247706,6408251346.483674190766952268264578,1759268835.823367706455495630849122,190799633.339642953893549443064124,44657562.98663962179070793361986877,6511.85644950648917635999440414665,103176900.2746771984028838509786929,4267698.968129610365553840744036652,2022-08-01,V2,Ethereum,aave_v2_ethereum,Aave
19206,15266179,1659484663,6492032102.609820154788892687033366,,,108230.3101784330708221043796973108,10060.48825896249617282903702225698,118290.7984373955669949334167195678,6492032102.609820154788892687033366,1752749431.511671381441027374429476,212106856.1923885864017128237077158,85751359.35898483545404158978304387,1543.293745801333439282128234212486,168570986.2829638756037829646133396,5331081.199500862228832571045113823,2022-08-02,V2,Ethereum,aave_v2_ethereum,Aave
19207,15272542,1659571074,6452329982.789443304606768085099402,,,121227.0229744581165804937116189929,11253.14912772006678452473594397633,132480.1721021781833650184475629692,6452329982.789443304606768085099402,1762889333.895663658034949838934586,111902327.777703919348683135352925,79130229.44420776405673199685033204,3901.938603747586632734260521601758,83607389.29561013658745120015618413,2738990.499822390161155008308727571,2022-08-03,V2,Ethereum,aave_v2_ethereum,Aave
19208,15277039,1659631692,6471367605.832019959421054598837389,,,77046.12022580666313380701375603748,7367.899164562910733466119242439351,84414.01939036957386727313299847677,6471367605.832019959421054598837389,1765405477.888187035855553928939584,124333393.2314318019290076311208164,44564025.78596149885688718308588258,0,74012859.24295519884301876291522327,18502.39345805177176810077723212733,2022-08-04,V2,Ethereum,aave_v2_ethereum,Aave
18717,12712356,1617234538,884081.8075441360741122943272223541,,,16.55835602353922891831630741030584,1.500907116122905718136996626548879,18.05926313966213463645330403685471,884081.8075441360741122943272223541,90745.86241956680321151539381544287,939511.7333425071051099862127113521,114699.1074710237088569829538318774,0,35715.04816216001603890062083270638,18749.83028136929620485364730033523,2021-03-31,V2,Polygon,aave_v2_polygon,Aave
18718,12752470,1617319973,1660072.639726952716588370220968441,,,12.33967311508343064941648981578486,1.371531590336782891608612927218505,13.71120470542021354102510274300336,1660072.639726952716588370220968441,265646.265295567927660798937731974,1176466.128259705738371497629725518,223753.0164708859921894115337643241,0,375030.4144806937764308164130682973,3583.600613559278241014520943404572,2021-04-01,V2,Polygon,aave_v2_polygon,Aave
18719,12794374,1617407578,2863201.048065244075149468556769433,,,120.4971090776800085191955179463299,13.38940363979986135884236221429201,133.8865127174798698780378801606225,2863201.048065244075149468556769433,664262.9666001922836896670292945703,1470101.75991983756837202768730479,503519.7918754884495595597250555851,0,177184.0378033391185333562990886707,5150.2997628398715024160929373051,2021-04-02,V2,Polygon,aave_v2_polygon,Aave
