,Date,Timestamp,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance,Platypus Finance
,23/12/2021,1640217600,,10035037.138744373,10035037.138744373,,,2796686.79466198,3025248.361232114,2205278.852354,2007823.1304962793,,,,,,,,,,,,,,2796686.79466198,3025248.361232114,2205278.852354,2007823.1304962793,,,,,,,,,,,,,,,,2768996.826398,3025248.361232114,2205278.852354,2007823.1304962793,,,,,,,,,,,,,,2768996.826398,3025248.361232114,2205278.852354,2007823.1304962793,,,,,,,,,,,,,,
,24/12/2021,1640304000,,10005598.456029234,10005598.456029234,,,2453705.98241,3021468.2586210473,2382171.104375,2148253.110623187,,,,,,,,,,,,,,2453705.98241,3021468.2586210473,2382171.104375,2148253.110623187,,,,,,,,,,,,,,,,2453705.98241,3021468.2586210473,2382171.104375,2148253.110623187,,,,,,,,,,,,,,2453705.98241,3021468.2586210473,2382171.104375,2148253.110623187,,,,,,,,,,,,,,
,25/12/2021,1640390400,,10031394.858564107,10031394.858564107,,,2608241.407067,2825388.8367569433,2118127.769184,2479636.845556163,,,,,,,,,,,,,,2608241.407067,2825388.8367569433,2118127.769184,2479636.845556163,,,,,,,,,,,,,,,,2608241.407067,2825388.8367569433,2118127.769184,2455085.9856991717,,,,,,,,,,,,,,2608241.407067,2825388.8367569433,2118127.769184,2455085.9856991717,,,,,,,,,,,,,,
,26/12/2021,1640476800,,10008220.79844676,10008220.79844676,,,2548215.696532,2937667.0099978335,2177703.19839,2344634.8935269276,,,,,,,,,,,,,,2548215.696532,2937667.0099978335,2177703.19839,2344634.8935269276,,,,,,,,,,,,,,,,2548215.696532,2937667.0099978335,2177703.19839,2344634.8935269276,,,,,,,,,,,,,,2548215.696532,2937667.0099978335,2177703.19839,2344634.8935269276,,,,,,,,,,,,,,
,27/12/2021,1640563200,,10004204.262168817,10004204.262168817,,,2554198.873675605,2952728.605640778,2219465.0853627366,2277811.697489697,,,,,,,,,,,,,,2554198.873675605,2952728.605640778,2219465.0853627366,2277811.697489697,,,,,,,,,,,,,,,,2555824.37798,2952728.605640778,2221906.961113,2277811.697489697,,,,,,,,,,,,,,2555824.37798,2952728.605640778,2221906.961113,2277811.697489697,,,,,,,,,,,,,,
,28/12/2021,1640649600,,9982567.500246221,9982567.500246221,,,2814289.682624,2950297.819296563,2237443.635566,1980536.3627596586,,,,,,,,,,,,,,2814289.682624,2950297.819296563,2237443.635566,1980536.3627596586,,,,,,,,,,,,,,,,2814289.682624,2950297.819296563,2237443.635566,1980962.2696476327,,,,,,,,,,,,,,2814289.682624,2950297.819296563,2237443.635566,1980962.2696476327,,,,,,,,,,,,,,
,29/12/2021,1640736000,,10006442.838687582,10006442.838687582,,,2840250.877029447,2842114.7931051766,2277991.197217,2046085.9713359594,,,,,,,,,,,,,,2840250.877029447,2842114.7931051766,2277991.197217,2046085.9713359594,,,,,,,,,,,,,,,,2840904.285015,2842114.7931051766,2277991.197217,2047312.3114104944,,,,,,,,,,,,,,2840904.285015,2842114.7931051766,2277991.197217,2047312.3114104944,,,,,,,,,,,,,,
,30/12/2021,1640822400,,10078119.993830146,10078119.993830146,,,2609464.869796857,2880630.9057922703,2387466.5867572003,2200557.6314838193,,,,,,,,,,,,,,2609464.869796857,2880630.9057922703,2387466.5867572003,2200557.6314838193,,,,,,,,,,,,,,,,2612259.987984,2852109.8077151193,2363828.30372,2178769.9321621973,,,,,,,,,,,,,,2612259.987984,2852109.8077151193,2363828.30372,2178769.9321621973,,,,,,,,,,,,,,
,31/12/2021,1640908800,,10002065.742925946,10002065.742925946,,,2461244.833997093,2866778.1704181973,2594723.01122,2079319.7272906546,,,,,,,,,,,,,,2461244.833997093,2866778.1704181973,2594723.01122,2079319.7272906546,,,,,,,,,,,,,,,,2463809.659853,2866778.1704181973,2594723.01122,2083722.6332146372,,,,,,,,,,,,,,2463809.659853,2866778.1704181973,2594723.01122,2083722.6332146372,,,,,,,,,,,,,,
,01/01/2022,1640995200,,10014821.541276935,10014821.541276935,,,2599609.552243,2767036.8127437057,2607684.43256012,2040490.7437301103,,,,,,,,,,,,,,2599609.552243,2767036.8127437057,2607684.43256012,2040490.7437301103,,,,,,,,,,,,,,,,2599609.552243,2739640.4086571345,2581865.774812,2020287.8650793172,,,,,,,,,,,,,,2599609.552243,2739640.4086571345,2581865.774812,2020287.8650793172,,,,,,,,,,,,,,
